lpa_curie,lpa_name,doc_reference,doc_name,doc_types,file_kind,final_url,landing_url,status,content_type,entry_date,local_plan
,,darlington-borough-council-local-plan-2016-48,SD30 Heritage Impact Assessment - Part 3,,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-49,SD30 Heritage Impact Assessment - Part 4,,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-5,CD05 Statement of Common Ground including Duty to Co-operate,,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-50,SD30 Heritage Impact Assessment - Part 5,,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-51,SD30 Heritage Impact Assessment - Part 6,,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-52,SD31 Landscape sensitivity of potential housing sites in Darlington Borough 2019,,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-53,SD32 The Impact of growth on demand for sports facilities 2019,,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-54,SD33 1825 Stockton and Darlington railway: Historic environment audit 2019 revision,,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-55,SD35 Darlington Landscape Character Assessment 2015,,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-56,SD38 Darlington Green Infrastructure Strategy 2009,,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-57,SD39 Darlington Characterisation Study 2009,,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-58,SD65 Blackwell Grange Park statement of significance,,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-59,SD66 Strategic Modelling report,,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-6,CD07 Habitat Regulations Appropriate Assessment - screening report,,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-60,SD67 Coniscliffe Aimsun Modelling,,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-61,SD68 North Darlington Aimsun Modelling,,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-62,SD69 A66 Corridor Vissim Model,,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-7,CD08 Local Plan Viability Assessment,viability-assessment,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-8,Appendix A-F Residential viability testing study,viability-assessment,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,darlington-borough-council-local-plan-2016-9,Appendix H-K - Costar export lease comps report,viability-assessment,pdf,https://www.darlington.gov.uk/404/,https://www.darlington.gov.uk/environment-and-planning/planning/planning-and-environmental-policy/adopted-local-plan-2016-2036/,200,text/html,,darlington-borough-council-local-plan-2016
,,draft-local-plan-for-regulation-18-consultation,Draft local plan for regulation 18 consultation,local-plan,html,,https://www.camden.gov.uk/draft-new-local-plan,403,text/html,,camden-local-plan-2026
,,east-lindsey-core-strategy-and-settlement-proposals-dpd-report-final-may-2018,East Lindsey Core Strategy and Settlement Proposals DPD Report - Final - May 2018,,pdf,https://www.e-lindsey.gov.uk/media/9021/East-Lindsey-Core-Strategy-and-Settlement-Proposals-DPD-Report-Final-May-2018/pdf/East_Lindsey_Core_Strategy_and_Settlement_Proposals_DPD_Report_-_Final_-_May_2018.pdf?m=1525354390860,https://www.e-lindsey.gov.uk/article/8455/Inspectors-Report,403,text/html,,east-lindsey-district-council-local-plan-2018
,,east-lindsey-core-strategy-and-settlement-proposals-dpd-report-mm-appendix-a-final,East Lindsey Core Strategy and Settlement Proposals DPD Report - MM Appendix A - Final,inspectors-report,pdf,https://www.e-lindsey.gov.uk/media/9022/East-Lindsey-Core-Strategy-and-Settlement-Proposals-DPD-Report-MM-Appendix-A-Final/pdf/East_Lindsey_Core_Strategy_and_Settlement_Proposals_DPD_Report_-_MM_Appendix_A_-_Final.pdf?m=1525354391140,https://www.e-lindsey.gov.uk/article/8455/Inspectors-Report,403,text/html,,east-lindsey-district-council-local-plan-2018
