lpa_curie,lpa_name,doc_reference,doc_name,doc_types,file_kind,final_url,landing_url,status,content_type,entry_date,local_plan
,,core-strategy-and-placemaking-plan-incorporating-the-local-plan-partial-update,Core Strategy and Placemaking Plan incorporating the Local Plan Partial Update,core-strategy;local-plan,pdf,https://www.bathnes.gov.uk/sites/default/files/2023-06/1.%20Districtwide%20Composite%20plan%20final.pdf,https://www.bathnes.gov.uk/policy-and-documents-library/development-plan-core-strategy-placemaking-plan-and-local-plan-partial,200,application/pdf,,local-plan-partial-update-removed-as-non-strategic
,,local-plan-core-strategy,Local Plan Core Strategy,core-strategy;local-plan,pdf,https://www.blaby.gov.uk/media/4107/adopted-core-strategy.pdf,https://www.blaby.gov.uk/planning-and-building/local-plan/,200,application/pdf,,blaby-district-council-local-plan-2019
,,new-local-plan-options-options-for-spatial-strategy-sites-and-strategic-policies,"New Local Plan Options Options for Spatial Strategy, Sites and Strategic Policies",local-plan,pdf,https://www.blaby.gov.uk/media/4560/bdc-new-local-plan-options-consultation-document.pdf,https://www.blaby.gov.uk/planning-and-building/local-plan/new-local-plan/,200,application/pdf,,blaby-district-new-local-plan
,,blackburn-with-darwen-borough-council-local-plan-2021-4,Blackburn with Darwen Local Plan 2021 to 2037 Policies Map Rural Section,policies-map,pdf,https://blackburn-darwen.org.uk/wp-content/uploads/Local-Plan-Policies-Map-Rural-Section-1.pdf,https://www.blackburn.gov.uk/planning/planning-policies-strategies-and-guides/local-plan-2021-2037,200,application/pdf,,blackburn-with-darwen-borough-council-local-plan-2021
,,chelmsford-city-council-local-plan-2013-50,Local Plan Adoption Statement,adoption-statement,pdf,https://www.chelmsford.gov.uk/media/xi4etzfb/local-plan-adoption-statement.pdf,https://www.chelmsford.gov.uk/planning-and-building-control/planning-policy-and-local-plan/adopted-local-plan/,200,application/pdf,,chelmsford-city-council-local-plan-2013
,,county-durham-plan-adoption-statement,County Durham Plan Adoption Statement,adoption-statement,pdf,https://www.durham.gov.uk/media/34073/County-Durham-Plan-Adoption-Statement/pdf/CountyDurhamPlanAdoptionStatement1.pdf?m=1720103327560,https://www.durham.gov.uk/article/7440/What-is-the-County-Durham-Plan,200,application/pdf,,county-durham-plan
,,county-durham-plan,County Durham Plan,local-plan,pdf,https://www.durham.gov.uk/media/34069/County-Durham-Plan/pdf/CountyDurhamPlanAdopted2020vDec2020.pdf?m=1732184551360,https://www.durham.gov.uk/article/7440/What-is-the-County-Durham-Plan,200,application/pdf,,county-durham-plan
,,draft-elmbridge-local-plan-2037,Draft Elmbridge Local Plan 2037,local-plan,pdf,https://www.elmbridge.gov.uk/sites/default/files/2023-08/CD001%20-%20Draft%20Elmbridge%20Local%20Plan%202037.pdf,https://www.elmbridge.gov.uk/local-plan-examination/submission-documents,404,text/html,,elmbridge-new-local-plan
,,city-of-york-local-plan-2017-2033,City of York Local Plan 2017-2033,local-plan,pdf,https://www.york.gov.uk/downloads/file/10103/city-of-york-adopted-local-plan-2025,https://www.york.gov.uk/planning-policy/adopted-local-plan,200,application/pdf,,city-of-york-local-plan
,,ld12-local-development-scheme-2024,LD12 Local Development Scheme 2024,local-development-scheme,pdf,https://www.cityoflondon.gov.uk/assets/Services-Environment/Local-Development-Scheme-2024.pdf,https://www.cityoflondon.gov.uk/services/planning/planning-policy/city-plan-2040,200,application/pdf,,city-plan-2040
,,policies-map-county-durham-plan,Policies map,policies-map,landing,,https://www.durham.gov.uk/article/7440/What-is-the-County-Durham-Plan,0,,,county-durham-plan
,,norwich-city-council-local-plan-2018-38,HRA update with respect to modification of Policy 2 Nutrient Neutrality and with respect to GIRAMS (G2.4),sustainability-appraisal,pdf,https://www.gnlp.org.uk/sites/gnlp/files/2023-03/E16845%20GNLP%20Reg%2019%20HRA%202023-03-17.pdf,https://www.gnlp.org.uk/local-plan-examination-local-plan-examination-document-library/j-inspectors-report-and-adoption,200,application/pdf,,norwich-city-council-local-plan-2018
,,adoption-statement-city-of-york-local-plan,Adoption Statement,adoption-statement,pdf,https://www.york.gov.uk/downloads/file/10105/local-plan-adoption-statement,https://www.york.gov.uk/planning-policy/adopted-local-plan,200,application/pdf,,city-of-york-local-plan
,,local-development-scheme-2023-2026,Local Development Scheme 2023-2026,local-development-scheme,pdf,https://www.elmbridge.gov.uk/sites/default/files/2023-09/CD006%20-%20Local%20Development%20Scheme%202023-2026%20-July%202023.pdf,https://www.elmbridge.gov.uk/local-plan-examination/submission-documents,404,text/html,,elmbridge-new-local-plan
,,core-strategy-july-2011,Core Strategy July 2011,core-strategy,pdf,https://www.elmbridge.gov.uk/sites/default/files/2023-03/Core%20Strategy.pdf,https://www.elmbridge.gov.uk/planning/planning-policy-and-guidance/core-strategy,200,application/pdf,,elmbridge-borough-council-local-plan-2011
,,sustainability-appraisal-city-plan-2040,Sustainability Appraisal,sustainability-appraisal,pdf,https://www.cityoflondon.gov.uk/assets/Services-Environment/SA-Main-Report-Reg-19b.pdf,,200,application/pdf,,city-plan-2040
,,sustainability-appraisal-appendix-2-baseline-info,Sustainability Appraisal Appendix 2 Baseline Info,sustainability-appraisal,pdf,https://www.cityoflondon.gov.uk/assets/Services-Environment/Appendix-2-SA-Baseline-Information-Reg-19b.pdf,,200,application/pdf,,city-plan-2040
,,sustainability-appraisal-appendix-3-responses,Sustainability Appraisal Appendix 3 Responses,sustainability-appraisal,pdf,https://www.cityoflondon.gov.uk/assets/Services-Environment/Appendix-3-SA-Consultation-Responses-Reg-19b.pdf,,200,application/pdf,,city-plan-2040
,,city-plan-2040-viability-assessment,City Plan 2040 Viability Assessment,viability-assessment,pdf,https://www.cityoflondon.gov.uk/assets/Services-Environment/City-Plan-2040-Viability-Assessment.pdf,,200,application/pdf,,city-plan-2040
,,policies-maps-city-plan-2040,Policies Maps City Plan 2040,policies-map,pdf,https://www.cityoflondon.gov.uk/assets/Services-Environment/Policies-Maps-City-Plan-2040-2024.pdf,,200,application/pdf,,city-plan-2040
,,sustainability-appraisal-appendix-1-other-plans,Sustainability Appraisal Appendix 1 Other Plans,sustainability-appraisal,pdf,https://www.cityoflondon.gov.uk/assets/Services-Environment/Appendix-1-SA-Other-Plans-and-Programmes-Reg-19b.pdf,,200,application/pdf,,city-plan-2040
,,sustainability-appraisal-appendix-4,Sustainability Appraisal Appendix 4,sustainability-appraisal,pdf,https://www.cityoflondon.gov.uk/assets/Services-Environment/Appendix-4-SA-of-Reasonable-Alternatives-Reg-19b.pdf,,200,application/pdf,,city-plan-2040
,,sustainability-appraisal-appendix-5,Sustainability Appraisal Appendix 5,sustainability-appraisal,pdf,https://www.cityoflondon.gov.uk/assets/Services-Environment/Appendix-5-SA-Assessments-Revised-Proposed-Submission-City-Plan-2040-Reg-19b.pdf,,200,application/pdf,,city-plan-2040
,,city-of-london-local-plan-2040,City of London Local Plan 2040,local-plan,pdf,https://www.cityoflondon.gov.uk/assets/Services-Environment/City-Plan-2040.pdf,,200,application/pdf,,city-plan-2040
,,city-plan-2040-policies-maps-changes,City Plan 2040 Policies Maps Changes,policies-map,pdf,https://www.cityoflondon.gov.uk/assets/Services-Environment/City-Plan-Policies-Map-Changes-2024.pdf,,200,application/pdf,,city-plan-2040
,,strategic-housing-market-assessment,Strategic Housing Market Assessment,strategic-housing-market-assessment,pdf,https://www.cityoflondon.gov.uk/assets/Services-Environment/SHMA-Housing-Needs-Assessment-2023.pdf,,200,application/pdf,,city-plan-2040
,,chelmsford-city-council-local-plan-2013-1,Chelmsford Adopted Local Plan (with maps),local-plan,pdf,https://www.chelmsford.gov.uk/media/id1jmniz/chelmsford-local-plan-may-2020-includes-a1-plans.pdf,https://www.chelmsford.gov.uk/planning-and-building-control/planning-policy-and-local-plan/adopted-local-plan/,200,application/pdf,,chelmsford-city-council-local-plan-2013
,,city-of-london-corporation-local-plan-2015-2,Local Plan (Adopted 2015) Policies Map A (PDF),policies-map,pdf,https://www.cityoflondon.gov.uk/assets/Services-Environment/planning-local-plan-adopted-policies-mapa-adopted-2015.pdf,https://www.cityoflondon.gov.uk/services/planning/planning-policy/local-plan-2015,200,application/pdf,,city-of-london-corporation-local-plan-2015
,,london-borough-of-lambeth-local-plan-2020-1,Lambeth Local Plan 2021,local-plan,pdf,https://www.lambeth.gov.uk/sites/default/files/2021-09/Lambeth%20Local%20Plan%202021.pdf,https://www.lambeth.gov.uk/planning-building-control/planning-policy-guidance/lambeth-local-plan-2021,200,application/pdf,,london-borough-of-lambeth-local-plan-2020
,,london-borough-of-lambeth-local-plan-2020-3,Adoption Statement,adoption-statement,pdf,https://www.lambeth.gov.uk/sites/default/files/2021-09/Local%20Plan%202021%20Adoption%20Statement.pdf,https://www.lambeth.gov.uk/planning-building-control/planning-policy-guidance/lambeth-local-plan-2021,200,application/pdf,,london-borough-of-lambeth-local-plan-2020
,,london-borough-of-lambeth-local-plan-2020-4,Sustainability Appraisal Adoption Statement,adoption-statement;sustainability-appraisal,pdf,https://www.lambeth.gov.uk/sites/default/files/2021-09/Sustainability%20Appraisal%20Adoption%20Statement.pdf,https://www.lambeth.gov.uk/planning-building-control/planning-policy-guidance/lambeth-local-plan-2021,200,application/pdf,,london-borough-of-lambeth-local-plan-2020
,,london-borough-of-lambeth-local-plan-2020-5,erratum notice,local-plan,pdf,https://www.lambeth.gov.uk/sites/default/files/2021-10/Erratum%20notice_0.pdf,https://www.lambeth.gov.uk/planning-building-control/planning-policy-guidance/lambeth-local-plan-2021,200,application/pdf,,london-borough-of-lambeth-local-plan-2020
,,luton-borough-council-local-plan-2011-1,The Notice of Adoption,adoption-statement,pdf,https://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/Local%20Plan/adoption/Luton-Local-Plan-2011-31-adoption-statement.pdf,https://m.luton.gov.uk/Page/Show/Environment/Planning/Regional%20and%20local%20planning/Pages/Local%20Plan%202011%20-%202031.aspx#accordion_1,200,application/pdf,,luton-borough-council-local-plan-2011
,,luton-borough-council-local-plan-2011-2,Sustainability Appraisal and Strategic Environmental Assessment for the Luton Local Plan,sustainability-appraisal,pdf,https://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/Local%20Plan/adoption/Luton-Local-Plan-2011-2031-post-adoption-statement.pdf,https://m.luton.gov.uk/Page/Show/Environment/Planning/Regional%20and%20local%20planning/Pages/Local%20Plan%202011%20-%202031.aspx#accordion_1,200,application/pdf,,luton-borough-council-local-plan-2011
,,luton-borough-council-local-plan-2011-3,Luton Local Plan (2011 to 2031),local-plan,pdf,https://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/Local%20Plan/adoption/Luton-Local-Plan-2011-2031-November-2017.pdf,https://m.luton.gov.uk/Page/Show/Environment/Planning/Regional%20and%20local%20planning/Pages/Local%20Plan%202011%20-%202031.aspx#accordion_1,200,application/pdf,,luton-borough-council-local-plan-2011
,,luton-borough-council-local-plan-2011-4,Policies map,policies-map,pdf,https://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/Local%20Plan/adoption/Luton-Local-Plan-2011-2031-policies-map.pdf,https://m.luton.gov.uk/Page/Show/Environment/Planning/Regional%20and%20local%20planning/Pages/Local%20Plan%202011%20-%202031.aspx#accordion_1,200,application/pdf,,luton-borough-council-local-plan-2011
,,luton-borough-council-local-plan-2011-5,Town Centre Inset Map,local-plan;policies-map,pdf,https://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/Local%20Plan/adoption/Luton-Local-Plan-2011-2031-Luton-town-centre-inset-map.pdf,https://m.luton.gov.uk/Page/Show/Environment/Planning/Regional%20and%20local%20planning/Pages/Local%20Plan%202011%20-%202031.aspx#accordion_1,200,application/pdf,,luton-borough-council-local-plan-2011
,,luton-borough-council-local-plan-2011-7,Inspectors report into the examination of the Luton Local Plan dated 1 August 2017,inspectors-report,pdf,https://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/Local%20Plan/adoption/Luton-Local-Plan-2011-2031-final-Inspectors-report.pdf,https://m.luton.gov.uk/Page/Show/Environment/Planning/Regional%20and%20local%20planning/Pages/Local%20Plan%202011%20-%202031.aspx#accordion_1,200,application/pdf,,luton-borough-council-local-plan-2011
,,luton-borough-council-local-plan-2011-8,Inspector's report August 2017 Schedule of Proposed Main Modifications to Luton Local Plan,inspectors-report,pdf,https://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/Local%20Plan/adoption/Luton-Local-Plan-2011-2031-final-Inspectors-schedule-appendix-Main-Modifications.pdf,https://m.luton.gov.uk/Page/Show/Environment/Planning/Regional%20and%20local%20planning/Pages/Local%20Plan%202011%20-%202031.aspx#accordion_1,200,application/pdf,,luton-borough-council-local-plan-2011
,,luton-borough-council-local-plan-2011-9,Sustainability Appraisal Report,sustainability-appraisal,pdf,https://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/Local%20Plan/adoption/Luton-Local-Plan-2011-2031-sustainability-appraisal-report.pdf,https://m.luton.gov.uk/Page/Show/Environment/Planning/Regional%20and%20local%20planning/Pages/Local%20Plan%202011%20-%202031.aspx#accordion_1,200,application/pdf,,luton-borough-council-local-plan-2011
,,luton-borough-council-local-plan-2011-11,Technical note - Sustainability Appraisal Addendum post Main Modifications,sustainability-appraisal,pdf,https://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/Local%20Plan/adoption/Luton-Local-Plan-2011-2031-Sustainability-Appraisal-Addendum-post-Main-Mods.pdf,https://m.luton.gov.uk/Page/Show/Environment/Planning/Regional%20and%20local%20planning/Pages/Local%20Plan%202011%20-%202031.aspx#accordion_1,200,application/pdf,,luton-borough-council-local-plan-2011
,,luton-borough-council-local-plan-2011-13,Luton Local Development Scheme,local-development-scheme,pdf,https://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/Planning/LDS_2017.pdf,https://m.luton.gov.uk/Page/Show/Environment/Planning/Regional%20and%20local%20planning/Pages/Local%20Plan%202011%20-%202031.aspx#accordion_1,200,application/pdf,,luton-borough-council-local-plan-2011
,,city-of-london-corporation-local-plan-2015-1,Local Plan (Adopted 2015),local-plan,pdf,https://www.cityoflondon.gov.uk/assets/Services-Environment/planning-local-plan-adopted-2015.pdf,https://www.cityoflondon.gov.uk/services/planning/planning-policy/local-plan-2015,200,application/pdf,,city-of-london-corporation-local-plan-2015
