doc_reference,doc_name,url,error,lpa_curie,lpa_name,local_plan
east-cambridgeshire-district-council-local-plan-2013-19,"Sustainability Appraisal of the Local Plan 2015 (PDF, 4.)",https://eastcambs.gov.uk:443/sites/default/files/SA%20report%20of%20the%20April%202015%20Adopted%20LP%20-%20FINAL.pdf,HTTPError: 404 Client Error: Not Found for url: https://eastcambs.gov.uk:443/sites/default/files/SA%20report%20,,,east-cambridgeshire-district-council-local-plan-2013
east-cambridgeshire-district-council-local-plan-2013-20,"Adoption Statement of the Sustainability Appraisal 2015 (PDF, 0.)",https://eastcambs.gov.uk:443/sites/default/files/SA%20Adoption%20Statement%20-%20Apr%202015%20-%20Final.pdf,HTTPError: 404 Client Error: Not Found for url: https://eastcambs.gov.uk:443/sites/default/files/SA%20Adoption%,,,east-cambridgeshire-district-council-local-plan-2013
east-cambridgeshire-local-plan-2015-policies-map,East Cambridgeshire Local Plan 2015 Policies Map,https://eastcambs.gov.uk:443/sites/default/files/District%20Proposal%20Map_50k_Colour%20%28resized%29.pdf,HTTPError: 404 Client Error: Not Found for url: https://eastcambs.gov.uk:443/sites/default/files/District%20Pro,,,east-cambridgeshire-local-plan-single-issue-review
gateshead-metropolitan-borough-council-local-plan-2010-1,Core Strategy and Urban Core Plan,https://www.gateshead.gov.uk/media/7765/Core-Strategy-and-Urban-Core-Plan-for-Gateshead-and-Newcastle/pdf/Core-Strategy-and-Urban-Core-Plan-for-Gateshead-and-Newcastle_SMALLER.pdf?m=1526313509250,HTTPError: 403 Client Error: Forbidden for url: https://www.gateshead.gov.uk/media/7765/Core-Strategy-and-Urban,,,gateshead-metropolitan-borough-council-local-plan-2010
gateshead-metropolitan-borough-council-local-plan-2010-2,Adoption Statement,https://www.gateshead.gov.uk/media/1904/Adoption-Statement/pdf/Adoption-Statement.pdf?m=1531310685127,HTTPError: 403 Client Error: Forbidden for url: https://www.gateshead.gov.uk/media/1904/Adoption-Statement/pdf/,,,gateshead-metropolitan-borough-council-local-plan-2010
high-peak-borough-council-local-plan-2011-2,The High Peak Local Plan Adopted April 2016,https://www.highpeak.gov.uk/media/160/The-High-Peak-Local-Plan-Adopted-April-2016/pdf/The_High_Peak_Local_Plan_Adopted_April_2016.pdf?m=1514473710280,"ConnectionError: HTTPSConnectionPool(host='www.highpeak.gov.uk', port=443): Max retries exceeded with url: /media/160",,,high-peak-borough-council-local-plan-2011
high-peak-borough-council-local-plan-2011-3,Inspector's report,https://www.highpeak.gov.uk/media/161/Inspectors-report/pdf/Inspectors_Report.pdf?m=1514474273050,"ConnectionError: HTTPSConnectionPool(host='www.highpeak.gov.uk', port=443): Max retries exceeded with url: /media/161",,,high-peak-borough-council-local-plan-2011
high-peak-borough-council-local-plan-2011-5,Adoption Statement,https://www.highpeak.gov.uk/media/163/Adoption-Statement/pdf/Adoption_statement.pdf?m=1514473896560,"ConnectionError: HTTPSConnectionPool(host='www.highpeak.gov.uk', port=443): Max retries exceeded with url: /media/163",,,high-peak-borough-council-local-plan-2011
local-development-scheme-december-2022,Local development scheme - december 2022,https://lewisham.gov.uk/-/media/local-development-scheme-december-2022.pdf,HTTPError: 404 Client Error: 404 File Not Found for url: https://lewisham.gov.uk/-/media/local-development-sche,,,london-borough-of-lewisham-local-plan-2020
local-development-scheme-oct-2024,Local development scheme - Oct 2024,https://tunbridgewells.gov.uk/__data/assets/pdf_file/0008/483677/Local-Development-Scheme-October-2024.pdf,HTTPError: 403 Client Error: Forbidden for url: https://tunbridgewells.gov.uk/__data/assets/pdf_file/0008/48367,,,tunbridge-wells-borough-council-new-local-plan
london-borough-of-haringey-local-plan-2013-1,Haringey Local Plan: Strategic Policies (pdf),https://haringey.gov.uk//sites/default/files/2024-01/final_haringey_local_plan_2017_online.pdf,HTTPError: 503 Server Error: Service Unavailable for url: https://haringey.gov.uk//sites/default/files/2024-01/,,,london-borough-of-haringey-local-plan-2013
london-borough-of-redbridge-local-plan-2015-1,Redbridge Local Plan 2015-2030,https://www.redbridge.gov.uk/media/9993/10-redbridgelocal-plan_070318_web-1_tp.pdf,HTTPError: 404 Client Error: Not Found for url: https://www.redbridge.gov.uk/media/9993/10-redbridgelocal-plan_,,,london-borough-of-redbridge-local-plan-2015
maidstone-borough-council-local-plan-2021-1,Maidstone Borough Council Local Plan Review 2021-2038,https://localplan.maidstone.gov.uk/home/local-plan-review,HTTPError: 403 Client Error: Forbidden for url: https://localplan.maidstone.gov.uk/home/local-plan-review,,,maidstone-borough-council-local-plan-2021
sustainability-appraisal,Sustainability Appraisal,https://www.birmingham.gov.uk/downloads/download/1139/adopted_birmingham_development_plan,HTTPError: 403 Client Error: Forbidden for url: https://www.birmingham.gov.uk/downloads/download/1139/adopted_b,,,the-birmingham-plan-bdp-update
policies-map-basingstoke-and-deane-borough-council-local-plan-2011,Policies Map,https://www.basingstoke.gov.uk/adopted-policies-map,"SSLError: HTTPSConnectionPool(host='www.basingstoke.gov.uk', port=443): Max retries exceeded with url: /adopte",,,basingstoke-and-deane-borough-council-local-plan-2011
local-development-scheme-ashfield-local-plan-2023-2040,Local Development Scheme,https://www.ashfield.gov.uk/planning-building-control/local-plan/emerging-local-plan,HTTPError: 404 Client Error: Not Found for url: https://www.ashfield.gov.uk/planning-building-control/local-pla,,,ashfield-local-plan-2023-2040
policies-map-bassetlaw-district-council-local-plan-2020,Policies Map,https://www.bassetlaw.gov.uk/planning-and-building/bassetlaw-local-plan-2020-2038/bassetlaw-local-plan-2020-2038-adoption/bassetlaw-local-plan-policies-map/,"SSLError: HTTPSConnectionPool(host='www.bassetlaw.gov.uk', port=443): Max retries exceeded with url: /planning",,,bassetlaw-district-council-local-plan-2020
adoption-statement-the-birmingham-plan-bdp-update,Adoption Statement,https://www.birmingham.gov.uk/downloads/download/1139/adopted_birmingham_development_plan,HTTPError: 403 Client Error: Forbidden for url: https://www.birmingham.gov.uk/downloads/download/1139/adopted_b,,,the-birmingham-plan-bdp-update
